CORR,DESCRIPCION PROFESION/OFICIO
463,ING. DE SISTEMAS INFORMATICOS
464,TEC. EN ING. DE LA CONFECCION INDUSTRIAL
465,ING. EN SISTEMAS Y COMPUTACION
466,TECNICO
467,TEC. EN PRODUCTIVIDAD INDUSTRIAL
468,LIC. EN COMPUTACION ADMTIVA EMPRESARIAL
469,TEC. EN INGENIERIA ELECTROMECANICA
470,DOCTOR EN INFORMATICA
471,INGENIERO FORESTAL
472,TEC. EN SISTEMAS DE COMPUTACION
473,TEC. EN ING. CIVIL Y CONSTRUCCION
474,TEC. EN ING. TOPOGRAFICA
475,LIC. EN INFORMATICA
476,ING. MECANICO INDUSTRIAL
477,TEC. EN MAQUINA INDUSTRIAL
478,TEC. EN INGENIERIA EN COMPUTACION
479,TEC. EN ING. EN COMPUTACION
480,TEC. ELECTROMECANICO
481,TEC. SUPERIOR EN ING. CIVIL
482,GERENCIA INDUSTRIAL
483,LIC.(A) EN CIENCIAS DE LA COMPUTACION
484,TEC. INGENIERIA DE CONTROL DE CALIDAD
485,ING. ELECTRICO INDUSTRIAL
486,TEC.PROGRAMADOR ANALISTA
487,AUXILIAR DE TOPOGRAFIA
488,DOCTOR EN INGENIERIA
489,ING. AUTOMOTRIZ
490,TECNICO EN INFORMATICA
491,TEC EN MECANIZACION AGRICOLA INDUSTRIAL
492,INGENIERIA GENETICA
493,TEC. VALUADOR
494,ING. EN COMUNICACIONES Y ELECTRONICA
495,TECNICO EN CONTADURIA
496,TEC. EN MANTENIMIENTO INDUSTRIAL
497,INGENIERO DE PRODUCCION
498,INGENIERO(A) AGRONOMO ZOOTECNISTA
499,TEC. EN ELECTRONICA DIGITAL
500,TEC. EN PROGRAMACION DE COMPUTADORAS
501,INGENIERO(A) ELECTRICISTA
502,ING.(A) AGRONOMO EN DESARROLLO RURAL
503,ELECTROMECANICO INDUSTRIAL
504,TEC. EN ARTES GRAFICAS
505,TEC. EN ALIMENTOS
506,TEC. EN SISTEMAS HIDRAULICOS
507,TEC. EN INGENIERIA TEXTIL
508,TEC. EN SIST. INFORMATICOS ADMINIS.
509,TEC. ELECTRICISTA
510,TEC. OPERADOR DE COMPUTADORAS
511,TEC. EN ING. MECANICA Y ELECTRICA
512,TEC. SISMOLOGO
513,ING. EN RADIO-COMUNICACIONES
514,TEC. EN ADMON. DE EMPRESAS
515,TEC. EN INGENIERIA DE CONTROL
516,TEC. AVANZADO EN ING. TOPOGRAFICA
517,ING.(A)  AGRONOMO FITOTECNISTA
518,ING.(A) INDUSTRIAL Y SISTEMAS
519,TEC. EN RADIO-COMUNICACIONES
520,TEC. EN ARSENAL Y CENTRAL DE EQUIPOS
521,TEC. EN CONTROL DE CALIDAD
522,TEC. EN MANTENIMIENTO
523,ING.(A) ELECTRO-MECANICO
524,TEC. SUB-MARINISTA
525,TEC. EN EQUIPO DE OFICINA
526,ING. TEC. MECANICO
527,TEC. ING. DE SISTEMAS Y REDES INFORMAT.
528,ING.(A) AGRIMENSOR
529,ING. TERMO-ENERGETICO
530,LIC. EN ESTADISTICA Y COMPUTACION
531,MAESTRIA EN MANEJO SUST. DE LOS RRNN.
532,TEC. SUPERIOR EN ADMON INDUSTRIAL
533,TEC. EN MECANICA AUTOMOTRIZ
